earthquake,time
 '1968HYUGAx01YAGI_grid.csv',1968-04-01 00:42:07 UTC
 '1968TOKACH01NAGA_grid.csv',1968-05-16 00:49:02 UTC
 '1969GIFUxK01TAKE_grid.csv',1969-09-09 05:15:38 UTC
 '1971SANFER01HEAT_grid.csv',1971-02-09 14:00:41 UTC
 '1974IZUxHA01TAKE_grid.csv',1974-05-08 23:33:25 UTC
 '1974PERUCE01HART_grid.csv',1974-10-03 14:21:29 UTC
 '1975OITAxK01TAKE_grid.csv',1975-04-20 17:35:50 UTC
 '1978MIYAGI01YAMA_grid.csv',1978-06-12 08:14:26 UTC
 '1978TABASI01HART_grid.csv',1978-09-16 15:35:56 UTC
 '1979COYOTE01LIUx_grid.csv',1979-08-06 17:05:22 UTC
 '1979IMPERI01ARCH_grid.csv',1979-10-15 23:16:53 UTC
 '1979IMPERI01HART_grid.csv',1979-10-15 23:16:53 UTC
 '1979IMPERI01OLSO_grid.csv',1979-10-15 23:16:53 UTC
 '1979IMPERI01ZENG_grid.csv',1979-10-15 23:16:53 UTC
 '1979PETATL01MEND_grid.csv',1979-03-14 11:07:16 UTC
 '1980IZUxHA01TAKE_grid.csv',1980-06-29 07:20:05 UTC
 '1981PLAYAA01MEND_grid.csv',1981-10-25 03:22:15 UTC
 '1982NEWBRU01HART_grid.csv',1982-01-09 12:53:51 UTC
 '1983BORAHP01MEND_grid.csv',1983-10-28 14:06:06 UTC
 '1983JAPANE01FUKU_grid.csv',1983-05-26 02:59:59 UTC
 '1984MORGAN01BERO_grid.csv',1984-04-24 21:15:18 UTC
 '1984MORGAN01HART_grid.csv',1984-04-24 21:15:18 UTC
 '1984NAGANO01TAKE_grid.csv',1984-09-13 23:48:49 UTC
 '1985CENTRA01MEND_grid.csv',1985-03-03 22:47:07 UTC
 '1985MICHOA01MEND_grid.csv',1985-09-19 13:17:47 UTC
 '1985NAHANN01HART_grid.csv',1985-10-05 15:24:02 UTC
 '1985NAHANN02HART_grid.csv',1985-12-23 05:16:03 UTC
 '1985ZIHUAT01MEND_grid.csv',1985-09-21 01:37:13 UTC
 '1986NORTHP01HART_grid.csv',1986-07-08 09:20:44 UTC
 '1986NORTHP01MEND_grid.csv',1986-07-08 09:20:44 UTC
 '1987ELMORE01LARS_grid.csv',1987-11-24 01:54:14 UTC
 '1987SUPERS01LARS_grid.csv',1987-11-24 13:15:56 UTC
 '1987SUPERS01WALD_grid.csv',1987-11-24 13:15:56 UTC
 '1987WHITTI01HART_grid.csv',1987-10-01 14:42:20 UTC
 '1988SAGUEN01HART_grid.csv',1988-11-25 23:46:04 UTC
 '1989LOMAPR01BERO_grid.csv',1989-10-18 00:04:15 UTC
 '1989LOMAPR01EMOL_grid.csv',1989-10-18 00:04:15 UTC
 '1989LOMAPR01STEI_grid.csv',1989-10-18 00:04:15 UTC
 '1989LOMAPR01WALD_grid.csv',1989-10-18 00:04:15 UTC
 '1989LOMAPR01ZENG_grid.csv',1989-10-18 00:04:15 UTC
 '1989UNGAVA01HART_grid.csv',1989-12-25 14:24:32 UTC
 '1991SIERRA01WALD_grid.csv',1991-06-28 14:43:54 UTC
 '1992JOSHUA01BENN_grid.csv',1992-04-23 04:50:23 UTC
 '1992JOSHUA01HOUG_grid.csv',1992-04-23 04:50:23 UTC
 '1992LANDER01COHE_grid.csv',1992-06-28 11:57:34 UTC
 '1992LANDER01COTT_grid.csv',1992-06-28 11:57:34 UTC
 '1992LANDER01HERN_grid.csv',1992-06-28 11:57:34 UTC
 '1992LANDER01WALD_grid.csv',1992-06-28 11:57:34 UTC
 '1992LANDER01ZENG_grid.csv',1992-06-28 11:57:34 UTC
 '1992LITTLE01SILV_grid.csv',1992-06-29 10:14:23 UTC
 '1993HOKKAI01MEND_grid.csv',1993-07-12 13:17:11 UTC
 '1993HOKKAI01TANI_grid.csv',1993-07-12 13:17:11 UTC
 '1993PUMQUx01WANG_grid.csv',1993-03-20 14:51:59 UTC
 '1993TAPUTA01MAxx_grid.csv',1993-12-15 21:49:42 UTC
 '1994NANAOT01MAxx_grid.csv',1994-06-05 01:09:30 UTC
 '1994NORTHR01DREG_grid.csv',1994-01-17 12:30:55 UTC
 '1994NORTHR01HART_grid.csv',1994-01-17 12:30:55 UTC
 '1994NORTHR01HUDN_grid.csv',1994-01-17 12:30:55 UTC
 '1994NORTHR01SHEN_grid.csv',1994-01-17 12:30:55 UTC
 '1994NORTHR01WALD_grid.csv',1994-01-17 12:30:55 UTC
 '1994NORTHR01ZENG_grid.csv',1994-01-17 12:30:55 UTC
 '1994SANRIK01NAGA_grid.csv',1994-12-28 12:19:23 UTC
 '1994SANRIK01NAKA_grid.csv',1994-12-28 12:19:23 UTC
 '1994TAIWAN01MAxx_grid.csv',1994-04-06 01:12:05 UTC
 '1994TAIWAN02MAxx_grid.csv',1994-04-06 01:12:05 UTC
 '1995COLIMA01MEND_grid.csv',1995-10-09 15:35:53 UTC
 '1995COPALA01COUR_grid.csv',1995-09-14 14:04:31 UTC
 '1995KOBEJA01CHOx_grid.csv',1995-01-16 20:46:52 UTC
 '1995KOBEJA01HORI_grid.csv',1995-01-16 20:46:52 UTC
 '1995KOBEJA01IDEx_grid.csv',1995-01-16 20:46:52 UTC
 '1995KOBEJA01KOKE_grid.csv',1995-01-16 20:46:52 UTC
 '1995KOBEJA01SEKI_grid.csv',1995-01-16 20:46:52 UTC
 '1995KOBEJA01WALD_grid.csv',1995-01-16 20:46:52 UTC
 '1995KOBEJA01YOSH_grid.csv',1995-01-16 20:46:52 UTC
 '1995KOBEJA01ZENG_grid.csv',1995-01-16 20:46:52 UTC
 '1995KOBEJA02SEKI_grid.csv',1995-01-16 20:46:52 UTC
 '1995TAIWAN01MAxx_grid.csv',1995-07-14 16:52:46 UTC
 '1995TAIWAN02MAxx_grid.csv',1995-10-31 22:27:04 UTC
 '1995TAIWAN03MAxx_grid.csv',1995-10-31 22:27:04 UTC
 '1996HYUGAx01YAGI_grid.csv',1996-10-19 14:44:40 UTC
 '1996HYUGAx02YAGI_grid.csv',1996-12-02 22:17:59 UTC
 '1996NAZCAR01SALI_grid.csv',1996-11-12 16:59:44 UTC
 '1996NAZCAR01SPEN_grid.csv',1996-11-12 16:59:44 UTC
 '1996PUMQUx01WANG_grid.csv',1996-07-03 06:44:45 UTC
 '1997COLFIO01HERN_grid.csv',1997-09-26 00:33:12 UTC
 '1997COLFIO02HERN_grid.csv',1997-09-26 09:40:26 UTC
 '1997COLFIO03HERN_grid.csv',1997-10-14 15:23:10 UTC
 '1997KAGOSH01HORI_grid.csv',1997-03-26 08:31:47 UTC
 '1997KAGOSH01MIYA_grid.csv',1997-03-26 08:31:47 UTC
 '1997KAGOSH02HORI_grid.csv',1997-05-13 05:38:30 UTC
 '1997YAMAGU01IDEx_grid.csv',1997-06-25 09:50:12 UTC
 '1997YAMAGU01MIYA_grid.csv',1997-06-25 09:50:12 UTC
 '1997ZIRKUH01SUDH_grid.csv',1997-05-10 07:57:29 UTC
 '1998ANTARC01ANTO_grid.csv',1998-03-25 03:12:25 UTC
 '1998ANTARC02ANTO_grid.csv',1998-03-25 03:12:25 UTC
 '1998HIDASW05IDEx_grid.csv',1998-08-12 06:13:04 UTC
 '1998HIDASW07IDEx_grid.csv',1998-08-14 10:36:15 UTC
 '1998HIDASW08IDEx_grid.csv',1998-08-15 18:28:19 UTC
 '1998HIDASW09IDEx_grid.csv',1998-08-15 18:31:08 UTC
 '1998HIDASW10IDEx_grid.csv',1998-08-17 01:15:05 UTC
 '1998HIDASW11IDEx_grid.csv',1998-08-21 18:55:45 UTC
 '1998HIDASW16IDEx_grid.csv',1998-09-18 08:16:48 UTC
 '1998IWATEJ01MIYA_grid.csv',1998-09-03 07:58:21 UTC
 '1998IWATEJ01NAKA_grid.csv',1998-09-03 07:58:21 UTC
 '1998PUMQUx01WANG_grid.csv',1998-08-25 07:41:40 UTC
 '1998RUEYLI01MAxx_grid.csv',1998-07-17 04:51:14 UTC
 '1999CHICHI01CHIx_grid.csv',1999-09-20 17:47:18 UTC
 '1999CHICHI01JOHN_grid.csv',1999-09-20 17:47:18 UTC
 '1999CHICHI01MAxx_grid.csv',1999-09-20 17:47:18 UTC
 '1999CHICHI01SEKI_grid.csv',1999-09-20 17:47:18 UTC
 '1999CHICHI01WUxx_grid.csv',1999-09-20 17:47:18 UTC
 '1999CHICHI01ZENG_grid.csv',1999-09-20 17:47:18 UTC
 '1999CHICHI02MAxx_grid.csv',1999-09-20 17:47:18 UTC
 '1999DUZCET01BIRG_grid.csv',1999-11-12 16:57:19 UTC
 '1999DUZCET01DELO_grid.csv',1999-11-12 16:57:19 UTC
 '1999HECTOR01JIxx_grid.csv',1999-10-16 09:46:44 UTC
 '1999HECTOR01JONS_grid.csv',1999-10-16 09:46:44 UTC
 '1999HECTOR01KAVE_grid.csv',1999-10-16 09:46:44 UTC
 '1999HECTOR01SALI_grid.csv',1999-10-16 09:46:44 UTC
 '1999IZMITT01BOUC_grid.csv',1999-08-17 00:01:39 UTC
 '1999IZMITT01CAKI_grid.csv',1999-08-17 00:01:39 UTC
 '1999IZMITT01DELO_grid.csv',1999-08-17 00:01:39 UTC
 '1999IZMITT01REIL_grid.csv',1999-08-17 00:01:39 UTC
 '1999IZMITT01SEKI_grid.csv',1999-08-17 00:01:39 UTC
 '1999IZMITT01YAGI_grid.csv',1999-08-17 00:01:39 UTC
 '1999OAXACA01HERN_grid.csv',1999-09-30 16:31:15 UTC
 '2000KLEIFA01SUDH_grid.csv',2000-06-17 15:40:41 UTC
 '2000TOTTOR01IWAT_grid.csv',2000-10-06 04:30:19 UTC
 '2000TOTTOR01PIAT_grid.csv',2000-10-06 04:30:19 UTC
 '2000TOTTOR01SEKI_grid.csv',2000-10-06 04:30:19 UTC
 '2000TOTTOR01SEMM_grid.csv',2000-10-06 04:30:19 UTC
 '2001BHUJIN01ANTO_grid.csv',2001-01-26 03:16:40 UTC
 '2001BHUJIN01COPL_grid.csv',2001-01-26 03:16:40 UTC
 '2001BHUJIN01YAGI_grid.csv',2001-01-26 03:16:40 UTC
 '2001GEIYOJ01KAKE_grid.csv',2001-03-24 06:27:53 UTC
 '2001GEIYOJ01SEKI_grid.csv',2001-03-24 06:27:53 UTC
 '2001QINGHA01HAYE_grid.csv',2001-11-14 09:26:10 UTC
 '2002DENALI01ASAN_grid.csv',2002-11-03 22:12:41 UTC
 '2002DENALI01HAYE_grid.csv',2002-11-03 22:12:41 UTC
 '2002DENALI01OGLE_grid.csv',2002-11-03 22:12:41 UTC
 '2003BAMIRA01POIA_grid.csv',2003-12-26 01:56:52 UTC
 '2003BOUMER01SEMM_grid.csv',2003-05-21 18:44:20 UTC
 '2003CARLSB01WEIx_grid.csv',2003-07-15 20:27:50 UTC
 '2003COLIMA01YAGI_grid.csv',2003-01-22 02:06:34 UTC
 '2003MIYAGI01HIKI_grid.csv',2003-07-25 22:13:29 UTC
 '2003MIYAGI01MIUR_grid.csv',2003-07-25 22:13:29 UTC
 '2003TOKACH01KOKE_grid.csv',2003-09-25 19:50:06 UTC
 '2003TOKACH01TANI_grid.csv',2003-09-25 19:50:06 UTC
 '2003TOKACH01YAGI_grid.csv',2003-09-25 19:50:06 UTC
 '2003TOKACH01YAMA_grid.csv',2003-09-25 19:50:06 UTC
 '2004IRIANx01WEIx_grid.csv',2004-02-07 02:42:35 UTC
 '2004NIIGAT01ASAN_grid.csv',2004-10-23 08:56:00 UTC
 '2004PARKFI01CUST_grid.csv',2004-09-28 17:15:24 UTC
 '2004PARKFI01DREG_grid.csv',2004-09-28 17:15:24 UTC
 '2004PARKFI01JIxx_grid.csv',2004-09-28 17:15:24 UTC
 '2004SUMATR01AMMO_grid.csv',2004-12-26 00:58:53 UTC
 '2004SUMATR01JIxx_grid.csv',2004-12-26 00:58:53 UTC
 '2004SUMATR01RHIE_grid.csv',2004-12-26 00:58:53 UTC
 '2004SUMATR02RHIE_grid.csv',2004-12-26 00:58:53 UTC
 '2004ZHONGB01ELLI_grid.csv',2004-07-11 23:08:44 UTC
 '2005FUKUOK01ASAN_grid.csv',2005-03-20 01:53:41 UTC
 '2005FUKUOK02ASAN_grid.csv',2005-04-19 21:11:28 UTC
 '2005HONSHU01SHAO_grid.csv',2005-08-16 02:46:28 UTC
 '2005KASHMI01KONC_grid.csv',2005-10-08 03:50:40 UTC
 '2005KASHMI01SHAO_grid.csv',2005-10-08 03:50:40 UTC
 '2005NORTHE01SHAO_grid.csv',2005-06-15 02:50:54 UTC
 '2005SUMATR01JIxx_grid.csv',2005-03-28 16:09:36 UTC
 '2005SUMATR01KONC_grid.csv',2005-03-28 16:09:36 UTC
 '2005SUMATR01SHAO_grid.csv',2005-03-28 16:09:36 UTC
 '2005ZHONGB01ELLI_grid.csv',2005-04-07 20:04:41 UTC
 '2006JAVAIN01YAGI_grid.csv',2006-07-17 08:19:26 UTC
 '2006KURILI01JIxx_grid.csv',2006-11-15 11:14:13 UTC
 '2006KURILI01LAYx_grid.csv',2006-11-15 11:14:13 UTC
 '2006KURILI02SLAD_grid.csv',2006-11-15 11:14:13 UTC
 '2006PINGTU01YENx_grid.csv',2006-12-26 12:26:21 UTC
 '2006PINGTU02YENx_grid.csv',2006-12-26 12:34:13 UTC
 '2006SOUTHE01JIxx_grid.csv',2006-07-17 08:19:26 UTC
 '2006SOUTHE01KONC_grid.csv',2006-07-17 08:19:26 UTC
 '2007BENGKU01GUSM_grid.csv',2007-09-12 11:10:26 UTC
 '2007BENGKU02GUSM_grid.csv',2007-09-12 11:10:26 UTC
 '2007BENKUL01JIxx_grid.csv',2007-09-12 11:10:26 UTC
 '2007BENKUL01KONC_grid.csv',2007-09-12 11:10:26 UTC
 '2007BENKUL02KONC_grid.csv',2007-09-12 11:10:26 UTC
 '2007KURILI01JIxx_grid.csv',2007-01-13 04:23:21 UTC
 '2007KURILI01SLAD_grid.csv',2007-01-13 04:23:21 UTC
 '2007NIIGAT01CIRE_grid.csv',2007-07-16 01:13:22 UTC
 '2007NOTOHA01ASAN_grid.csv',2007-03-25 00:41:57 UTC
 '2007PAGAII01JIxx_grid.csv',2007-09-12 23:49:03 UTC
 '2007PAGAII01KONC_grid.csv',2007-09-12 23:49:03 UTC
 '2007PAGAII01SLAD_grid.csv',2007-09-12 23:49:03 UTC
 '2007PISCOP01JIxx_grid.csv',2007-08-15 23:40:57 UTC
 '2007PISCOP01KONC_grid.csv',2007-08-15 23:40:57 UTC
 '2007PISCOP01SLAD_grid.csv',2007-08-15 23:40:57 UTC
 '2007SOLOMO01JIxx_grid.csv',2007-04-01 20:39:58 UTC
 '2007TOCOPI01BEJA_grid.csv',2007-11-14 15:40:50 UTC
 '2007TOCOPI01JIxx_grid.csv',2007-11-14 15:40:50 UTC
 '2007TOCOPI01MOTA_grid.csv',2007-11-14 15:40:50 UTC
 '2007TOCOPI01SLAD_grid.csv',2007-11-14 15:40:50 UTC
 '2007TOCOPI01ZENG_grid.csv',2007-11-14 15:40:50 UTC
 '2007TOCOPI02BEJA_grid.csv',2007-11-14 15:40:50 UTC
 '2007TOCOPI03BEJA_grid.csv',2007-11-14 15:40:50 UTC
 '2008GERZET01ELLI_grid.csv',2008-01-09 08:26:45 UTC
 '2008GERZET02ELLI_grid.csv',2008-01-16 11:54:44 UTC
 '2008IWATEx01ASAN_grid.csv',2008-06-13 23:43:45 UTC
 '2008IWATEx01CULT_grid.csv',2008-06-13 23:43:45 UTC
 '2008IWATEx01HAYE_grid.csv',2008-06-13 23:43:45 UTC
 '2008KERMED01HAYE_grid.csv',2008-09-29 15:19:31 UTC
 '2008SIMEUL01HAYE_grid.csv',2008-02-20 08:08:30 UTC
 '2008SIMEUL01SLAD_grid.csv',2008-02-20 08:08:30 UTC
 '2008SULAWE01SLAD_grid.csv',2008-11-16 17:02:32 UTC
 '2008WENCHU01FIEL_grid.csv',2008-05-12 06:28:01 UTC
 '2008WENCHU01JIxx_grid.csv',2008-05-12 06:28:01 UTC
 '2008WENCHU01SLAD_grid.csv',2008-05-12 06:28:01 UTC
 '2008WENCHU01YAGI_grid.csv',2008-05-12 06:28:01 UTC
 '2008WENCHU02FIEL_grid.csv',2008-05-12 06:28:01 UTC
 '2008WENCHU03FIEL_grid.csv',2008-05-12 06:28:01 UTC
 '2008YUTIAN01ELLI_grid.csv',2008-03-20 22:32:57 UTC
 '2008ZHONGB01ELLI_grid.csv',2008-08-25 13:21:58 UTC
 '2009FIORDL01HAYE_grid.csv',2009-07-15 09:22:29 UTC
 '2009GULFOF01HAYE_grid.csv',2009-08-03 17:59:56 UTC
 '2009LAQUIL01CIRE_grid.csv',2009-04-06 01:32:39 UTC
 '2009LAQUIL01GALL_grid.csv',2009-04-06 01:32:39 UTC
 '2009LAQUIL01GUAL_grid.csv',2009-04-06 01:32:39 UTC
 '2009LAQUIL01POIA_grid.csv',2009-04-06 01:32:39 UTC
 '2009LAQUIL02CIRE_grid.csv',2009-04-06 01:32:39 UTC
 '2009LAQUIL02POIA_grid.csv',2009-04-06 01:32:39 UTC
 '2009LAQUIL03CIRE_grid.csv',2009-04-06 01:32:39 UTC
 '2009LAQUIL04CIRE_grid.csv',2009-04-06 01:32:39 UTC
 '2009LAQUIL05CIRE_grid.csv',2009-04-06 01:32:39 UTC
 '2009OFFSHO01HAYE_grid.csv',2009-05-28 08:24:46 UTC
 '2009PADANG01HAYE_grid.csv',2009-09-30 10:16:09 UTC
 '2009PADANG01SLAD_grid.csv',2009-09-30 10:16:09 UTC
 '2009PADANG02SLAD_grid.csv',2009-09-30 10:16:09 UTC
 '2009PAPUAx01HAYE_grid.csv',2009-01-03 22:33:40 UTC
 '2009SAMOAx01HAYE_grid.csv',2009-09-29 17:48:10 UTC
 '2009VANUAT01HAYE_grid.csv',2009-10-07 22:03:14 UTC
 '2009VANUAT01SLAD_grid.csv',2009-10-07 22:03:14 UTC
 '2010BONINI01HAYE_grid.csv',2010-12-21 17:19:40 UTC
 '2010DARFIE01ATZO_grid.csv',2010-09-03 16:35:47 UTC
 '2010DARFIE01HAYE_grid.csv',2010-09-03 16:35:47 UTC
 '2010ELMAYO01MEND_grid.csv',2010-04-04 22:40:42 UTC
 '2010ELMAYO01WEIx_grid.csv',2010-04-04 22:40:42 UTC
 '2010HAITIx01CALA_grid.csv',2010-01-12 21:53:10 UTC
 '2010HAITIx01HAYE_grid.csv',2010-01-12 21:53:10 UTC
 '2010HAITIx01SLAD_grid.csv',2010-01-12 21:53:10 UTC
 '2010HAITIx02HAYE_grid.csv',2010-01-12 21:53:10 UTC
 '2010MAULEC01DELO_grid.csv',2010-02-27 06:34:11 UTC
 '2010MAULEC01HAYE_grid.csv',2010-02-27 06:34:11 UTC
 '2010MAULEC01LORI_grid.csv',2010-02-27 06:34:11 UTC
 '2010MAULEC01LUTT_grid.csv',2010-02-27 06:34:11 UTC
 '2010MAULEC01POLL_grid.csv',2010-02-27 06:34:11 UTC
 '2010MAULEC01SHAO_grid.csv',2010-02-27 06:34:11 UTC
 '2010MAULEC01SLAD_grid.csv',2010-02-27 06:34:11 UTC
 '2010MAULEC02LORI_grid.csv',2010-02-27 06:34:11 UTC
 '2010NORTHE01HAYE_grid.csv',2010-04-06 22:15:01 UTC
 '2010NORTHE02HAYE_grid.csv',2010-05-09 05:59:41 UTC
 '2010SUMATR01HAYE_grid.csv',2010-10-25 14:42:22 UTC
 '2010VANUAT01HAYE_grid.csv',2010-12-25 13:16:37 UTC
 '2011FUKUSH01TANA_grid.csv',2011-04-11 08:16:12 UTC
 '2011HONSHU01SHAO_grid.csv',2011-03-11 05:46:24 UTC
 '2011HONSHU02SHAO_grid.csv',2011-03-11 05:46:24 UTC
 '2011HONSHU03SHAO_grid.csv',2011-03-11 05:46:24 UTC
 '2011HONSHU04SHAO_grid.csv',2011-03-11 05:46:24 UTC
 '2011KERMAD01HAYE_grid.csv',2011-07-06 19:03:18 UTC
 '2011KERMAD02HAYE_grid.csv',2011-10-21 17:57:16 UTC
 '2011OFFSHO01HAYE_grid.csv',2011-03-09 02:45:20 UTC
 '2011PAKIST01HAYE_grid.csv',2011-01-18 20:23:23 UTC
 '2011PAKIST02HAYE_grid.csv',2011-01-18 20:23:23 UTC
 '2011TOHOKU01AMMO_grid.csv',2011-03-11 05:46:24 UTC
 '2011TOHOKU01FUJI_grid.csv',2011-03-11 05:46:24 UTC
 '2011TOHOKU01GUSM_grid.csv',2011-03-11 05:46:24 UTC
 '2011TOHOKU01HAYE_grid.csv',2011-03-11 05:46:24 UTC
 '2011TOHOKU01IDEx_grid.csv',2011-03-11 05:46:24 UTC
 '2011TOHOKU01LAYx_grid.csv',2011-03-11 05:46:24 UTC
 '2011TOHOKU01SATA_grid.csv',2011-03-11 05:46:24 UTC
 '2011TOHOKU01WEIx_grid.csv',2011-03-11 05:46:24 UTC
 '2011TOHOKU01YAGI_grid.csv',2011-03-11 05:46:24 UTC
 '2011TOHOKU01YAMA_grid.csv',2011-03-11 05:46:24 UTC
 '2011TOHOKU01YUEx_grid.csv',2011-03-11 05:46:24 UTC
 '2011TOHOKU02FUJI_grid.csv',2011-03-11 05:46:24 UTC
 '2011TOHOKU02GUSM_grid.csv',2011-03-11 05:46:24 UTC
 '2011TOHOKU02SATA_grid.csv',2011-03-11 05:46:24 UTC
 '2011TOHOKU02WEIx_grid.csv',2011-03-11 05:46:24 UTC
 '2011TOHOKU03SATA_grid.csv',2011-03-11 05:46:24 UTC
 '2011TOHOKU03WEIx_grid.csv',2011-03-11 05:46:24 UTC
 '2011VANTUR01ALTI_grid.csv',2011-10-23 10:41:23 UTC
 '2011VANTUR01ELLI_1_grid.csv',2011-10-23 10:41:23 UTC
 '2011VANTUR01HAYE_grid.csv',2011-10-23 10:41:23 UTC
 '2011VANTUR01KONC_grid.csv',2011-10-23 10:41:23 UTC
 '2011VANTUR01SHAO_grid.csv',2011-10-23 10:41:23 UTC
 '2011VANTUR01UTKU_grid.csv',2011-10-23 10:41:23 UTC
 '2011VANUAT01HAYE_grid.csv',2011-08-20 18:19:23 UTC
 '2012BRAWLE01WEIx_grid.csv',2012-08-26 20:57:58 UTC
 '2012BRAWLE02WEIx_grid.csv',2012-08-26 19:31:23 UTC
 '2012COSTAR01HAYE_grid.csv',2012-09-05 14:42:07 UTC
 '2012COSTAR01LIUx_grid.csv',2012-09-05 14:42:07 UTC
 '2012COSTAR01YUEx_grid.csv',2012-09-05 14:42:07 UTC
 '2012EASTOF01HAYE_grid.csv',2012-08-31 12:47:33 UTC
 '2012MASSET01LAYx_grid.csv',2012-10-28 03:04:08 UTC
 '2012MASSET01SHAO_grid.csv',2012-10-28 03:04:08 UTC
 '2012MASSET01WEIx_grid.csv',2012-10-28 03:04:08 UTC
 '2012OAXACA01HAYE_grid.csv',2012-03-20 18:02:47 UTC
 '2012OAXACA01WEIx_grid.csv',2012-03-20 18:02:47 UTC
 '2012OFFSHO01HAYE_grid.csv',2012-08-27 04:37:19 UTC
 '2012SUMATR01HAYE_grid.csv',2012-04-11 08:38:36 UTC
 '2012SUMATR01SHAO_grid.csv',2012-04-11 08:38:36 UTC
 '2012SUMATR01WEIx_grid.csv',2012-04-11 08:38:36 UTC
 '2012SUMATR01YUEx_grid.csv',2012-04-11 08:38:36 UTC
 '2012SUMATR02HAYE_grid.csv',2012-04-11 08:38:36 UTC
 '2012SUMATR03HAYE_grid.csv',2012-01-10 18:36:59 UTC